Bank,Tenant,Trans Date,Account,Contact,Amount,Type,Line Description
Bank C,BrightSmile Dental,19-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,ACCPAYPAYMENT,Ucheck-3077183
Bank C,BrightSmile Dental,22-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 32.70,SPEND,UCHECK HR05568091 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,30-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05537445 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,Bank H,KENTAPOL LTD,£ 112.66,SPEND,DIRECT 365ONLINE LTD - INTERNET - Card Ending: 7850
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Materials,,£ 952.70,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne Trinity NHS
Bank C,BrightSmile Dental,26-Jul-2024 00:00:00,Materials,EBAY,£ 173.85,ACCPAYPAYMENT,London College Tweezers Dental Surgical Diagnostic Dental Forceps Veterinary Lab (274876236056)
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Bank H,DIRECT 365,£ 54.94,SPEND,INV - 1880307
Bank C,BrightSmile Dental,21-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 36.20,SPEND,UCHECK HR05758342 - CHESHIRE - Card Ending: 785
Bank C,BrightSmile Dental,21-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05757445 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,29-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05554140 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,Direct365 - 00062634,£ 50.70,ACCPAYPAYMENT,Waste management 0001840016
Bank C,BrightSmile Dental,05-Nov-2024 00:00:00,Card Processing Fees,Dojo,£ 314.60,ACCPAYPAYMENT,Invoice period 26 Jun to 25 Jul 2024
Bank C,BrightSmile Dental,06-Mar-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR06040585 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,15-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05590274 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,General Waste,DIRECT 365,£ 2.44,ACCPAYPAYMENT,
Bank C,BrightSmile Dental,26-Jul-2024 00:00:00,Repairs and Maintenance,Air Supplies,"£ 1,008.00",ACCPAYPAYMENT,"BAMBI VT150 Compressor - Ultra Quiet Air - Oil-Free 
Professional (50 Litres, 1.5 HP)"
Bank C,BrightSmile Dental,19-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 36.20,SPEND,UCHECK HR05750079 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,General Waste,DIRECT 365,£ 2.21,ACCPAYPAYMENT,Booked based on Payment Allocation Sheet
Bank C,BrightSmile Dental,31-Jan-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05885053 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,31-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05299456 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,,£ 50.70,ACCPAYPAYMENT,Direct365 - 0001801733
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,Direct365 - 00062635,£ 54.59,ACCPAYPAYMENT,
Bank C,BrightSmile Dental,26-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 32.70,SPEND,UCHECK HR05649694 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,02-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05570437 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-May-2024 00:00:00,Printing and Stationery,,£ 10.20,ACCPAYPAYMENT,BSG - SINV01600784
Bank C,BrightSmile Dental,23-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05541984 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,31-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05567124 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,General Waste,DIRECT 365,£ 116.11,ACCPAYPAYMENT,
Bank C,BrightSmile Dental,21-May-2024 00:00:00,Materials,Next Dental,"£ 1,068.83",ACCPAYPAYMENT,South Cliff Dental Group - Westbury NHS
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Materials,,"£ 1,864.88",ACCPAYPAYMENT,South Cliff Dental Group - Horsham NHS
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Materials,,£ 729.31,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne NHS
Bank C,BrightSmile Dental,15-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05606575 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,19-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,ACCPAYPAYMENT,Ucheck-3077189
Bank C,BrightSmile Dental,24-Jul-2024 00:00:00,Printing and Stationery,BSG,£ 10.20,ACCPAYPAYMENT,"2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T


"
Bank C,BrightSmile Dental,20-May-2024 00:00:00,Printing and Stationery,,£ 10.20,ACCPAYPAYMENT,BSG - SINV01601658
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,"Power, Light and Heat",,£ 594.12,ACCPAYPAYMENT,SSE - 0561836513 - 701906540 / 0022
Bank C,BrightSmile Dental,31-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05560629 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-May-2024 00:00:00,Printing and Stationery,,£ 10.20,ACCPAYPAYMENT,2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T
Bank C,BrightSmile Dental,21-May-2024 00:00:00,Materials,Next Dental,£ 95.48,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne Trinity NR NHS
Bank C,BrightSmile Dental,20-Jul-2024 00:00:00,Travelling Expenses - Head office,Premier Inn,£ 502.00,ACCPAYPAYMENT,BJVI64068
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,Direct365 - 00062635,£ 277.24,ACCPAYPAYMENT,Direct365 - 00062635 - 0001836268
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Repairs and Maintenance,Brewers Decorator Centres,£ 76.31,ACCPAYPAYMENT,380ML GEOCEL CONTRACTORS DECORATORS CAULK WHITE
Bank C,BrightSmile Dental,25-Apr-2024 00:00:00,Computer Running Costs,Joiin Ltd,£ 372.00,SPEND,Joiin Subscription
Bank C,BrightSmile Dental,25-Feb-2025 00:00:00,Interest Paid,Capital on Tap,"£ 1,950.00",SPEND,Interest Charge (26/01/2025 - 25/02/2025)
Bank C,BrightSmile Dental,24-Aug-2024 00:00:00,Computer Running Costs,EBAY,£ 185.00,ACCPAYPAYMENT,", hp desktop pc elite desk"
Bank C,BrightSmile Dental,17-May-2024 00:00:00,Capital On Tap,,"£ 10,264.00",RECEIVE-TRANSFER,Bank Transfer from Bank E.
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Materials,,£ 162.00,ACCPAYPAYMENT,South Cliff Dental Group - Westbury NHS
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 80.64,ACCPAYPAYMENT,B&Q - 1464810761
Bank C,BrightSmile Dental,17-Jul-2024 00:00:00,Capital On Tap,,"£ 9,791.48",RECEIVE-TRANSFER,Bank Transfer from Bank E.
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Printing and Stationery,,£ 22.20,ACCPAYPAYMENT,BSG - SINV01591601
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Materials,,"£ 1,505.52",ACCPAYPAYMENT,South Cliff Dental Group - Minster On Sea NHS
Bank C,BrightSmile Dental,15-Mar-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR06136508 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,19-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,ACCPAYPAYMENT,Ucheck-3077190
Bank C,BrightSmile Dental,15-Mar-2025 00:00:00,Computer Running Costs,McAfee,£ 54.99,ACCPAYPAYMENT,10 Devices/2 year subscription - for period 14.03.25 - 14.03.27
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 87.21,ACCPAYPAYMENT,ScrewFix - 1453658807
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 49.88,ACCPAYPAYMENT,As per Statement
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 32.99,ACCPAYPAYMENT,Brewers - HED/322870
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,Direct365 - 00062635,£ 12.14,ACCPAYPAYMENT,Direct365 - 00062635 - 0001840343
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Printing and Stationery,BSG,£ 32.40,ACCPAYPAYMENT,"
2-Ply White 200 Sheet Toilet Roll (Pack of 36) TWH200T, 
A4COPIER A4 White Copier Paper [2500 Sheets]"
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Printing and Stationery,,£ 32.40,ACCPAYPAYMENT,BSG - SINV01595344
Bank C,BrightSmile Dental,26-Jul-2024 00:00:00,Materials,EBAY,£ 173.85,ACCPAYPAYMENT,London College Tweezers Dental Surgical Diagnostic Dental Forceps Veterinary Lab (274876236056)
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Bewbush Dental Care Limited Intercompany,,"£ 1,916.10",ACCPAYPAYMENT,South Cliff Dental Group - Bewbush NHS
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Materials,,"£ 1,035.20",ACCPAYPAYMENT,South Cliff Dental Group - Eastleigh NHS
Bank C,BrightSmile Dental,17-Jul-2024 00:00:00,Materials,DAVIS SCHOTTLANDER & DAVIS LTD,£ 676.45,ACCPAYPAYMENT,Dental materials
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Dale Road inter company loan account,DIRECT 365,£ 186.00,ACCPAYPAYMENT,Booked based on Statement
Bank C,BrightSmile Dental,30-Jan-2025 00:00:00,Legal and Professional Fees,Companies House,£ 34.00,ACCPAYPAYMENT,Companies House Payment
Bank C,BrightSmile Dental,24-Jul-2024 00:00:00,Dale Road inter company loan account,BSG,£ 22.20,SPEND,THE BUSINESS SUPPLIES GR - BRISTOL - Card Ending: 7850
Bank C,BrightSmile Dental,20-Nov-2024 00:00:00,Computer Running Costs,Support pdf,£ 91.36,SPEND,SupportPDFfiller.com - 8557501663 - Card Ending: 7850
Bank C,BrightSmile Dental,15-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 32.70,SPEND,UCHECK HR05605564 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,26-Feb-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR06079309 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,29-Aug-2024 00:00:00,Repairs and Maintenance,EBUYER,£ 129.99,ACCPAYPAYMENT,Ebuyer - 29936133
Bank C,BrightSmile Dental,29-Jun-2024 00:00:00,Materials,SP VSDENT,£ 119.40,RECEIVE,Refund
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,SP VSDENT,£ 119.40,SPEND,"SP VSDENT - HEALDGREEN, C - Card Ending: 7850"
Bank C,BrightSmile Dental,18-Jul-2024 00:00:00,Materials,Next Dental,£ 537.96,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne Trinity NR NHS
Bank C,BrightSmile Dental,29-Aug-2024 00:00:00,Materials,DENTAL SKY WHOLESALER,£ 158.00,ACCPAYPAYMENT,PSPiX 2 Standard Imaging Plates - Size 2 - 31 x 41 mm (2)
Bank C,BrightSmile Dental,21-May-2024 00:00:00,Materials,Next Dental,£ 236.30,ACCPAYPAYMENT,South Cliff Dental Group - Shirley NHS
Bank C,BrightSmile Dental,24-Aug-2024 00:00:00,Other office costs,EBUYER,£ 58.98,ACCPAYPAYMENT,MSI PRO MP225 22 Inch Full HD Monitor
Bank C,BrightSmile Dental,26-Jul-2024 00:00:00,Steyning inter company loan account,EBAY,£ 34.48,SPEND,AB - Uploaded 13-11858-70776 in Steyning folder.
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Materials,,£ 188.66,ACCPAYPAYMENT,As per Statement
Bank C,BrightSmile Dental,20-Sep-2024 00:00:00,Materials,EBAY,£ 141.09,ACCPAYPAYMENT,"Xcp type dental x ray film positioning kit positioner, dental x-ray  holders, dental mirror 24 heads examination tool"
Bank C,BrightSmile Dental,09-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05593392 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,05-Dec-2024 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05648941 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,26-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 32.70,SPEND,UCHECK HR05509479 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,24-Apr-2024 00:00:00,Bank H,,"£ 4,978.35",ACCPAYPAYMENT,South Cliff Dental Group - Margate NHS
Bank C,BrightSmile Dental,20-Aug-2024 00:00:00,Printing and Stationery,BSG,£ 22.20,ACCPAYPAYMENT,"
Copier Paper A4 White Ream Wrapped (Pack of 2500) WX01087"
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,,£ 50.70,ACCPAYPAYMENT,Direct365 - 0001820812
Bank C,BrightSmile Dental,06-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05583896 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,24-Jul-2024 00:00:00,Printing and Stationery,BSG,£ 22.20,ACCPAYPAYMENT,A4 White Copier Paper [2500 Sheets]
Bank C,BrightSmile Dental,15-Nov-2024 00:00:00,Capital On Tap,,"£ 8,760.79",RECEIVE-TRANSFER,Bank Transfer from Bank E.
Bank C,BrightSmile Dental,13-Mar-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR06107427 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,20-Apr-2024 00:00:00,Bank H,E K Fire Protection Ltd,£ 192.00,SPEND,Routine Emergency Lighting Flick Test 1 hr 13/02/24.
Bank C,BrightSmile Dental,12-Feb-2025 00:00:00,Recruitment Costs,UCHECK,£ 64.20,SPEND,UCHECK HR05951973 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,16-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05564569 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,23-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05527421 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,23-Jan-2025 00:00:00,Recruitment Costs,UCHECK,£ 36.20,SPEND,UCHECK HR05900977 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,,£ 54.59,ACCPAYPAYMENT,Direct365 - 00062635 - 0001833907
Bank C,BrightSmile Dental,07-Feb-2025 00:00:00,Recruitment Costs,UCHECK,£ 36.20,SPEND,UCHECK HR05970848 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,15-Nov-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05596553 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,25-Oct-2024 00:00:00,Recruitment Costs,UCHECK,£ 52.70,SPEND,UCHECK HR05478345 - CHESHIRE - Card Ending: 7850
Bank C,BrightSmile Dental,17-Jul-2024 00:00:00,Materials,DAVIS SCHOTTLANDER & DAVIS LTD,£ 701.16,ACCPAYPAYMENT,Dental materials
Bank C,BrightSmile Dental,21-Jun-2024 00:00:00,General Waste,DIRECT 365,£ 110.06,ACCPAYPAYMENT,"240 Litre Recycling Waste Covering: 23/04/2024
to 22/07/2024"
Bank C,BrightSmile Dental,18-Jul-2024 00:00:00,Materials,Next Dental,£ 279.43,ACCPAYPAYMENT,South Cliff Dental Group - Eastbourne Private
Bank C,BrightSmile Dental,24-Aug-2024 00:00:00,Computer Running Costs,EBAY,£ 2.99,ACCPAYPAYMENT,4k display port dp to hdmi female cable adaptor
